lemma	pos	count
<total>	-	2806875
。	PUNCT	227564
は	ADP	164467
た	AUX	102794
に	ADP	89728
を	ADP	89705
の	ADP	85873
だ	AUX	81558
て	SCONJ	76946
が	ADP	65132
、	PUNCT	53615
する	AUX	41073
ない	AUX	38308
いる	VERB	37808
彼	PRON	37759
ます	AUX	33199
私	PRON	32514
と	ADP	29507
の	SCONJ	25962
です	AUX	25341
で	ADP	22065
か	PART	20864
も	ADP	19609
よ	PART	18206
ある	VERB	17548
こと	NOUN	17085
?	PUNCT	16796
その	DET	16590
する	VERB	16089
彼女	PRON	15770
トム	PROPN	15224
なる	VERB	12187
ん	SCONJ	11246
この	DET	11151
お	NOUN	9290
てる	AUX	8996
れる	AUX	8304
人	NOUN	8047
ない	ADJ	7717
行く	VERB	7245
ぬ	AUX	7113
言う	VERB	6958
たち	NOUN	6786
から	ADP	6775
何	PRON	6434
あなた	PRON	6316
ば	SCONJ	6300
「	PUNCT	6137
」	PUNCT	6137
思う	VERB	6087
で	AUX	5833
ね	PART	5822
か	ADP	5549
それ	PRON	5430
たい	AUX	5394
見る	VERB	5349
で	SCONJ	5345
ら	NOUN	5206
君	PRON	4631
よう	AUX	4537
くる	VERB	4339
が	SCONJ	4310
くれる	VERB	4122
と	SCONJ	4082
どう	ADV	4041
家	NOUN	4019
いう	VERB	3957
知る	VERB	3947
な	PART	3940
これ	PRON	3914
もの	NOUN	3871
やる	VERB	3741
日	NOUN	3668
時	NOUN	3623
自分	NOUN	3559
好き	ADJ	3546
くださる	AUX	3480
中	NOUN	3457
へ	ADP	3397
つく	VERB	3378
来る	VERB	3345
できる	AUX	3308
もう	ADV	3271
誰	PRON	3192
僕	PRON	3180
なさる	AUX	3174
られる	AUX	3138
いい	ADJ	3135
本	NOUN	3101
メアリー	PROPN	3093
語	NOUN	3050
!	PUNCT	3033
まで	ADP	3025
から	SCONJ	2903
仕事	NOUN	2873
に	SCONJ	2822
持つ	VERB	2800
ここ	PRON	2784
時間	NOUN	2692
って	ADP	2681
食べる	VERB	2657
日本	PROPN	2653
話す	VERB	2630
方	NOUN	2613
とても	ADV	2602
せる	AUX	2579
より	ADP	2521
出る	VERB	2521
あの	DET	2504
一	NUM	2463
車	NOUN	2360
聞く	VERB	2250
前	NOUN	2249
しまう	VERB	2237
買う	VERB	2213
さん	NOUN	2186
年	NOUN	2184
達	NOUN	2141
金	NOUN	2137
どこ	PRON	2127
できる	VERB	2108
会う	VERB	2102
子供	NOUN	2100
